AVERAGE RESULTS


TRANSACTION COUNT RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| transaction_count                   | 34.51                | 34.99 (+1.37%)       | 34.61 (+0.26%)       |
------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| PIGGY_BANK.sol                      | 70.27%               | 83.78% (+19.23%)     | 72.97% (+3.85%)      |
| PreAdsMobileToken.sol               | 30.13%               | 30.54% (+1.39%)      | 25.94% (-13.89%)     |
| PreIcoCrowdsale.sol                 | 45.51%               | 44.23% (-2.82%)      | 47.44% (+4.23%)      |
| Profit1000.sol                      | 22.36%               | 25.56% (+14.29%)     | 22.36% (0.00%)       |
| RandoCoin.sol                       | 23.26%               | 27.44% (+18.00%)     | 26.98% (+16.00%)     |
| Remittance.sol                      | 21.88%               | 17.19% (-21.43%)     | 21.88% (0.00%)       |
| SCCsale.sol                         | 45.09%               | 45.66% (+1.28%)      | 45.66% (+1.28%)      |
| STRIMToken.sol                      | 21.89%               | 20.41% (-6.76%)      | 23.67% (+8.11%)      |
| Sacrific3d.sol                      | 37.40%               | 43.90% (+17.39%)     | 37.40% (0.00%)       |
| SaintArnouldToken.sol               | 44.88%               | 48.82% (+8.77%)      | 44.88% (0.00%)       |
| SatoshiDice.sol                     | 48.53%               | 48.53% (0.00%)       | 48.53% (0.00%)       |
| SingularityTest20.sol               | 45.05%               | 50.55% (+12.20%)     | 41.76% (-7.32%)      |
| SmartBillions.sol                   | 10.80%               | 10.80% (0.00%)       | 10.62% (-1.64%)      |
| TheNextBlock.sol                    | 38.89%               | 37.22% (-4.29%)      | 36.11% (-7.14%)      |
| TheOneToken.sol                     | 46.59%               | 32.95% (-29.27%)     | 46.59% (0.00%)       |
| TrustBet.sol                        | 44.12%               | 44.12% (0.00%)       | 44.12% (0.00%)       |
| TwentyDollars.sol                   | 41.11%               | 56.67% (+37.84%)     | 60.00% (+45.95%)     |
| WolkToken.sol                       | 20.99%               | 19.75% (-5.88%)      | 20.99% (0.00%)       |
| XCTCrowdSale.sol                    | 77.19%               | 73.68% (-4.55%)      | 77.19% (0.00%)       |
| XG4KCrowdFunding.sol                | 44.12%               | 44.12% (0.00%)       | 41.18% (-6.67%)      |
| eth666.sol                          | 44.76%               | 44.76% (0.00%)       | 41.90% (-6.38%)      |
| Forwarder.sol                       | 79.07%               | 74.42% (-5.88%)      | 74.42% (-5.88%)      |
| FunFairSale.sol                     | 48.57%               | 52.38% (+7.84%)      | 50.48% (+3.92%)      |
| InkPublicPresale.sol                | 17.97%               | 16.52% (-8.06%)      | 15.36% (-14.52%)     |
| LZLCoin.sol                         | 42.02%               | 36.13% (-14.00%)     | 30.25% (-28.00%)     |
| Payee.sol                           | 54.67%               | 66.67% (+21.95%)     | 70.67% (+29.27%)     |
| PowerCoin.sol                       | 43.22%               | 36.44% (-15.69%)     | 45.76% (+5.88%)      |
| PrivateBank.sol                     | 60.00%               | 68.57% (+14.29%)     | 77.14% (+28.57%)     |
| PrivateDeposit.sol                  | 62.50%               | 75.00% (+20.00%)     | 75.00% (+20.00%)     |
| Private_Bank.sol                    | 62.86%               | 80.00% (+27.27%)     | 80.00% (+27.27%)     |
| ProxyCreationAndExecute.sol         | 17.78%               | 11.11% (-37.50%)     | 17.14% (-3.57%)      |
| AcjCrowdsale.sol                    | 21.88%               | 19.67% (-10.13%)     | 19.11% (-12.66%)     |
| AmbrosusSale.sol                    | 23.17%               | 23.46% (+1.27%)      | 25.81% (+11.39%)     |
| AngelCentralBank.sol                | 19.40%               | 21.79% (+12.31%)     | 20.30% (+4.62%)      |
| AtomicSwap.sol                      | 41.18%               | 41.18% (0.00%)       | 39.71% (-3.57%)      |
| BBDExchange.sol                     | 33.00%               | 36.45% (+10.45%)     | 38.92% (+17.91%)     |
| BLOCKCHAIN_DEPOSIT_BETA.sol         | 56.41%               | 64.10% (+13.64%)     | 76.92% (+36.36%)     |
