GROUP B RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| Freeze.sol                          | 8.83%                | 9.00% (+1.87%)       | 8.89% (+0.72%)       |
| MultiplicatorX4.sol                 | 12.82%               | 12.87% (+0.38%)      | 12.91% (+0.68%)      |
| Bank_With_Interest.sol              | 14.98%               | 15.41% (+2.81%)      | 14.50% (-3.27%)      |
| ElectionsMarketSavingsBank.sol      | N/A                  | N/A                  | N/A                  |
| LaolaiManage.sol                    | 19.33%               | 19.94% (+3.17%)      | 19.97% (+3.33%)      |
| TransferMoney.sol                   | 26.71%               | 24.12% (-9.70%)      | 24.11% (-9.74%)      |
| BurnableOpenPaymentFactory.sol      | 20.76%               | 19.53% (-5.97%)      | 20.50% (-1.26%)      |
| BLOCKCHAIN_DEPOSIT_BETA.sol         | 14.62%               | 15.11% (+3.37%)      | 13.16% (-10.00%)     |
| Countdown.sol                       | 13.11%               | 13.41% (+2.34%)      | 13.75% (+4.92%)      |
| Pie.sol                             | 12.73%               | 13.29% (+4.39%)      | 13.05% (+2.57%)      |
| IntermediateVault.sol               | 11.52%               | 11.06% (-3.95%)      | 11.53% (+0.12%)      |
| msgdata.sol                         | 17.65%               | 17.24% (-2.32%)      | 17.14% (-2.89%)      |
| TIP.sol                             | 11.93%               | 11.39% (-4.54%)      | 11.71% (-1.89%)      |
| Best_Bank_with_Interest.sol         | 15.71%               | 15.72% (+0.09%)      | 15.76% (+0.37%)      |
| HodlBox.sol                         | 23.84%               | 23.39% (-1.92%)      | 23.79% (-0.24%)      |
| ForecasterReward.sol                | 14.41%               | 15.25% (+5.79%)      | 14.65% (+1.67%)      |
| ERC721_token.sol                    | 15.61%               | 15.54% (-0.45%)      | 15.57% (-0.28%)      |
| SatoshiDice.sol                     | 18.40%               | 18.70% (+1.60%)      | 18.39% (-0.08%)      |
| CrowdsaleTokens.sol                 | 14.08%               | 15.32% (+8.79%)      | 14.79% (+5.03%)      |
| TimeCapsuleEvent.sol                | 19.54%               | 18.13% (-7.22%)      | 18.17% (-6.99%)      |
| CrowdSaleTRH.sol                    | 15.44%               | 16.05% (+3.94%)      | 15.41% (-0.21%)      |
| Dividend.sol                        | 15.36%               | 16.54% (+7.66%)      | 16.38% (+6.63%)      |
| HodlerInvestmentClub.sol            | 16.48%               | 15.94% (-3.28%)      | 16.72% (+1.45%)      |
| Loan.sol                            | 13.35%               | 12.92% (-3.22%)      | 13.48% (+0.97%)      |
| EternalWealth.sol                   | 14.64%               | 14.41% (-1.60%)      | 15.37% (+4.99%)      |
| DYLC_ERC20Token.sol                 | 8.11%                | 8.37% (+3.24%)       | 8.05% (-0.77%)       |
| KnowledgeProxy.sol                  | 15.95%               | 16.04% (+0.57%)      | 16.26% (+1.99%)      |
| InvitherB.sol                       | 12.51%               | 12.12% (-3.16%)      | 12.22% (-2.35%)      |
| SimpleAuction.sol                   | 18.22%               | 17.93% (-1.59%)      | 17.78% (-2.36%)      |
| message.sol                         | 17.46%               | 17.32% (-0.78%)      | 17.19% (-1.50%)      |
| TranferInTwoPart.sol                | 23.29%               | 23.79% (+2.15%)      | 23.87% (+2.46%)      |
| viewMessageNumPayable.sol           | 14.51%               | 14.69% (+1.23%)      | 14.90% (+2.65%)      |
| Sacrific3d.sol                      | 11.27%               | 11.68% (+3.60%)      | 11.66% (+3.47%)      |
